Period,Geography,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept,Predicted,IRI_EVO
12/16/2017,Total,71.83456657072021,2087.258071355484,0.0,0.0,0.0,104.41012306456626,0.0,2594.5213107517347,-1295.0778746348728,-1417.1467825444995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.4966539378058,1040.1279928519236,4668.924224511979,96.92341779561856,3592.581497457246,300.7852211948079,4331.208190126939,1012.7009905081588,23450.548233826034,-286.3143076058535,2159.8394053287566,43886.62093449655,46369.544979
12/23/2017,Total,67.30621980711415,2096.012886546107,0.0,0.0,0.0,104.86555118946575,0.0,2429.9806806283186,-1292.7920511517761,-1413.44430346687,5624.104117284261,0.0,0.0,0.0,0.0,0.0,0.0,1508.1296888111463,859.6724839891766,4686.665217966811,96.74427476715076,3615.0009286639797,237.011409993434,4338.829218455241,1347.7926184031305,27063.49758086991,-286.69127888208817,2159.8394053287566,53242.524649203275,53912.372518
12/30/2017,Total,63.979739097002074,2099.5894054829905,0.0,0.0,0.0,105.1376426918475,0.0,2587.2063883791498,-1291.5702720487825,-1410.0772296061343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1319.1631944130231,888.3842504865172,4715.587691224142,89.93847790073502,3719.6701745537957,67.5834873172972,4342.383787047931,878.1974764629756,22360.802756933474,-286.64038707731646,2159.8394053287566,42409.175988587405,45594.257292999995
01/06/2018,Total,97.18696938329323,2067.3713705072514,0.0,0.0,0.0,98.52460113527253,0.0,2745.101884314253,-1289.8838693702805,-1408.5634105272911,0.0,0.0,0.0,0.0,112.00501990064568,0.0,0.0,1896.0744440534722,1145.931754852525,4788.638107581745,81.69205388174113,3258.523477678483,1035.1409773280318,4332.717446436422,3845.8598303487547,22644.906523448364,-285.9897414917536,2159.8394053287566,47325.07684478969,46877.912308
01/13/2018,Total,120.63178072205162,2051.593218063813,0.0,0.0,0.0,101.17692435872338,0.0,3311.6531713666277,-1288.3068996214924,-1405.1428602329022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.6950141386676,1696.2906628391613,4697.718792436092,84.65970872571548,3108.187191738092,915.4570101577372,4318.359101129572,3461.102910411785,22714.429709837477,-285.6330863644354,2159.8394053287566,47052.711755035445,48177.888561
01/20/2018,Total,139.18528798590106,2040.7907510226644,0.0,0.0,0.0,108.21230039067794,109.00993644628439,3299.7185748010297,-1286.6236945189125,-1400.295992102711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.310134957043,1608.7392729356657,4761.93531860184,85.86643979874975,2957.8509058831028,795.7730431090766,4305.558762128181,3076.34599003038,22783.95284328768,-285.8148575432217,2159.8394053287566,47060.35442254219,50123.844371
01/27/2018,Total,154.79324199168633,2031.9082581818477,0.0,0.0,0.0,117.06283988042253,168.1532432661853,3271.205475381252,-1286.7438143785942,-1398.3939482194914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221.2565202996207,2127.5463932592475,4774.334595950324,71.04130204799641,2807.5146199427136,676.0890759387818,4300.594518434249,2691.5890700934106,22853.476057096286,-285.7238036748573,2159.8394053287566,47455.543050819826,57649.131382
02/03/2018,Total,168.46869550207626,2023.7615932581282,0.0,13791.895346703175,0.0,126.39339150157585,226.99052365453386,3246.8572142563207,-1288.3066600817285,-1396.287387382629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817.092886076306,1769.959177377532,4718.667974463344,75.65243818761624,2657.178334053008,556.4051089629355,4323.812490585313,2306.832150100047,22922.999213415722,-285.82295416375194,2159.8394053287566,59922.38894179828,55071.224353
02/10/2018,Total,180.80542396719997,2015.8468293250392,0.0,6015.427552545581,0.0,135.52560545099527,200.64703687863894,3228.9128478010057,-1288.7816470148375,-1393.1821064615601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.7623087632828,1246.4698620749357,4658.392849368479,82.98640550454121,2506.8420481126177,436.72114179264065,4328.622680646203,1922.0752301630773,22992.522389804933,-285.83319393174844,2159.8394053287566,50289.602670119784,51513.21439400001
02/17/2018,Total,192.17545123139033,2007.941137580688,0.0,2784.1055766385794,0.0,144.1292178653916,174.02956370817168,3215.4496966370957,-1293.1827049792598,-1395.024408594988,0.0,0.0,0.0,0.0,0.0,0.0,4755.518154978281,539.1980564834174,1279.285184498101,4731.290167890926,80.94090997217673,2356.5057622576287,317.0371747439801,4330.050727628356,1537.3183097816723,23062.045586420652,-285.8188313088832,2159.8394053287566,50692.83413876213,51021.458046
02/24/2018,Total,202.82220770310283,1999.9426863281515,0.0,1370.637277640266,0.0,152.06243678587163,150.01119904908623,3204.19865631313,-1299.169490971315,-1404.216615940595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.3954097535616,829.2464849837788,4678.464594632252,87.24740837159372,2206.1694763172386,197.35320757368527,4316.551742565944,1152.5613898447025,23131.56876320198,-285.6770228769659,2159.8394053287566,43434.00921660422,46457.856803
03/03/2018,Total,203.41052329307706,2043.402711961447,0.0,714.3448533643907,0.0,143.45684088548464,122.38956968356985,3193.3780439515494,-1302.7687321288736,-1413.7718255286004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.602118118267,1044.8393882041416,4625.733815116827,96.662648744715,1867.7531831326257,303.25811940332215,4317.033959281556,1709.7127324207145,22552.153313046823,-285.71700737762586,2159.8394053287566,42608.71366090217,45869.253547
03/10/2018,Total,194.64139436168063,2110.897301410456,0.0,390.2344006208587,0.0,119.78329991158193,92.50663506300353,3181.739017763719,-1306.8933789399387,-1422.9035460924288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.2602187214758,705.0772312451766,4727.177665028844,92.537132805404,2023.2005290711459,20.93012604087057,4311.647259419521,1488.1293802281775,21695.700720261266,-285.84704408651345,2159.8394053287566,40978.65774816305,44200.671359
