Variable,TAS_SPD__APL_0.70|0.6|0,DEP_ALL__PVAL_3|3,LTV_30B_17__PVAL_3|5,LTV_30B_18__PVAL_3|5,LTV_30B_19__PVAL_3|5,MAS_SPD__PVAL_3|3,SUP_VID__PVAL_3|5,IRI_pctTD__PVAL_5|3#LAG_2,IRI_BAS_PRC_1500ML__RA_7,IRI_BAS_PRC_750ML__RA_5,HOL_CHR_NEW,HOL_LAB,HOL_MEM,HOL_MOT,HOL_NWY,HOL_THK,HOL_VAT,IRI_BAV_1500ML,IRI_BAV_750ML,IRI_TRD_DESEA,IRI_WBR,IRI_pctAT,IRI_pctFD,IRI_pctTA,IRI_pctTF,SEA_IRI_CORE_1,WBR_TRD,Intercept
HOL_CHR_NEW,-0.041904638012271817,0.18442954040654636,-0.016157437057408616,-0.018823334042010403,-0.016607711896089953,0.11307621289110384,-0.05253806731241031,-0.0494822314490146,-0.21066004680202888,-0.09817667479784334,1.0,-0.01960784313725492,-0.01595767255807823,-0.01595767255807823,-0.01960784313725491,-0.019607843137254916,-0.019607843137254916,0.04614507465290528,0.005415809682904813,1.6372591217948165e-10,-0.018441213780404697,0.27401020382890023,-0.048922754128951654,0.11884844904728266,-0.10272810166311745,0.4621979699061757,0.21357983353182927,
HOL_LAB,-0.0921009634896745,-0.014888364691935265,-0.016157437057368832,-0.01882330545379026,-0.016607711896089946,0.01787072440933497,-0.0525380673124103,-0.043645584964978654,0.10425634122301253,0.10920065388752194,-0.01960784313725492,1.0,-0.015957672558078236,-0.015957672558078236,-0.019607843137254916,-0.01960784313725492,-0.019607843137254916,-0.15089429262640128,0.08710863466698128,2.766455476426658e-11,0.12230204730597456,0.0358043651554044,-0.12057773748942006,0.028922675333908295,-0.0400535343392718,-0.08992382713412903,-0.01967991097505604,
HOL_MEM,-0.08948192311083676,-0.08481905617235869,-0.013149530288215302,-0.015281721066573177,-0.013516041847211913,-0.041296785292937135,-0.0427555508441473,0.014342517873059898,0.04401828508503467,0.030313874122896812,-0.01595767255807823,-0.015957672558078236,1.0,-0.012987012987013003,-0.01595767255807823,-0.015957672558078225,-0.015957672558078236,0.10422042475267919,-0.1006639822771183,0.08909536267353309,0.015045802875352544,-0.05051811793977898,0.06279561794883737,-0.0003462233842117962,0.12031897194117801,-0.11938043155601724,-0.010663210396042178,
HOL_MOT,-0.0829830534110253,-0.129135906627085,-0.0131492133149034,-0.015217219054390933,-0.013516041847211915,-0.050815023929785666,-0.04274213219957997,0.007281689591055894,0.08933995038417668,0.034461066042260395,-0.01595767255807823,-0.015957672558078236,-0.012987012987013003,1.0,-0.015957672558078225,-0.015957672558078225,-0.015957672558078232,0.01779201899045357,-0.017049661420006045,0.0832767246211386,0.07512581216561129,-0.066664841649771,-0.04795250958705752,0.0367533392580785,-0.030131044751260883,-0.11425974566464822,0.012184253638324453,
HOL_NWY,0.02255644289524443,0.1369315375163557,-0.01615743705740861,-0.0188233340420104,-0.016607711896089956,0.021445813098764834,-0.05253806731241033,0.004943637546209606,-0.18345780037539425,-0.12945226921460404,-0.01960784313725491,-0.019607843137254916,-0.01595767255807823,-0.015957672558078225,1.0,-0.01960784313725491,-0.019607843137254916,0.142244863505649,0.12091781247250055,-1.3735326714911042e-11,-0.1885176088600821,0.13799535848062003,0.4322498557177056,0.0552814434314109,0.3271134956019128,0.12457436200847438,-0.007967010548635627,
HOL_THK,-0.0671634499846753,0.04388592390311632,-0.016157437057408613,-0.018823334042010403,-0.016607711896089956,0.07545704011018411,-0.05253806731241032,0.002908031178776722,-0.1041566871640179,-0.009065565981907813,-0.019607843137254916,-0.01960784313725492,-0.015957672558078225,-0.015957672558078225,-0.01960784313725491,1.0,-0.019607843137254916,0.020329832293702825,0.015320032641190202,-7.516354820548199e-11,-0.03940404623226984,0.07491437810677096,-0.06808205916191655,0.07151406806279749,0.02265798104753183,0.2972361798250879,0.05402621278888109,
HOL_VAT,0.22728972492082972,-0.0004894824271660093,0.046162110343732764,0.08760781497893423,0.057271814466581604,-0.036839545583743,0.26744795191270054,0.12035857073748002,-0.12978824818473708,-0.21391781594673628,-0.019607843137254916,-0.019607843137254916,-0.015957672558078236,-0.015957672558078232,-0.019607843137254916,-0.019607843137254916,1.0,-0.14643660949224863,0.15378581857791457,-8.108041894916058e-11,-0.25326626189284906,-0.06992606060575535,-0.0006771964451426905,0.052113150813204535,-0.011433893477153068,0.15644786955998688,0.00787485029843653,
IRI_BAV_1500ML,-0.13936919193894937,0.15677301263380344,0.07325494384055428,0.1157896715838651,0.15822099483214533,-0.0010062219978855362,0.044305699307041944,-0.12989947294694612,-0.24471241842289784,-0.1189376058637258,0.04614507465290528,-0.15089429262640128,0.10422042475267919,0.01779201899045357,0.142244863505649,0.020329832293702825,-0.14643660949224863,1.0,0.09960610513696536,0.053652507946267136,-0.2363939022013838,0.408772022885254,0.32501670215746165,-0.11332911209433136,0.3644865547740703,0.1760572274710164,0.04597790152698578,
IRI_BAV_750ML,0.03382206994511004,0.11474582909587708,0.12159161276197367,0.13436226203887416,0.1719299168715106,0.2193173327086741,0.3354408680027407,0.11848854128956818,-0.30021413238574296,-0.19929275922243847,0.005415809682904813,0.08710863466698128,-0.1006639822771183,-0.017049661420006045,0.12091781247250055,0.015320032641190202,0.15378581857791457,0.09960610513696536,1.0,0.1323553709868046,-0.5342781848535976,0.26936622322049997,0.43193930302967837,0.0946804647024405,0.4858132092565657,0.3341235720683739,0.04391177019802845,
IRI_TRD_DESEA,-0.21767865090168673,-0.04868727210242496,0.10639197296716953,-0.007822888567826362,-0.10361154226074613,0.06236665551106833,-0.07767878939169857,0.3528078682931696,0.16187708684500549,0.3330755576020298,1.6372591217948165e-10,2.766455476426658e-11,0.08909536267353309,0.0832767246211386,-1.3735326714911042e-11,-7.516354820548199e-11,-8.108041894916058e-11,0.053652507946267136,0.1323553709868046,1.0,0.11560994700822126,0.04255493315378475,-7.250597267318082e-11,0.11583721702694735,0.002399723261050522,6.30395145261598e-11,0.45467333148623923,
IRI_WBR,-0.46571546759503396,-0.27617461991648956,-0.18536753863141667,-0.2795742239643592,-0.26979109966457243,-0.13580751027716106,-0.4800612119229136,-0.20336669105404867,0.5670156593950944,0.5988166895893967,-0.018441213780404697,0.12230204730597456,0.015045802875352544,0.07512581216561129,-0.1885176088600821,-0.03940404623226984,-0.25326626189284906,-0.2363939022013838,-0.5342781848535976,0.11560994700822126,1.0,-0.16205541571165816,-0.49208411809395197,-0.07935633955944817,-0.5039847582284119,-0.5348248243529775,0.05672519129002054,
IRI_pctAT,-0.0944084192266166,0.3098860823670235,-0.08725858215146802,-0.09299051141347214,0.11110501531795432,0.3787883455604911,-0.009614542960235384,-0.14733793400208034,-0.1992812703613627,0.034512803422700376,0.27401020382890023,0.0358043651554044,-0.05051811793977898,-0.066664841649771,0.13799535848062003,0.07491437810677096,-0.06992606060575535,0.408772022885254,0.26936622322049997,0.04255493315378475,-0.16205541571165816,1.0,0.1697880632548595,0.07729414743351826,0.03678232314967131,0.3255835820991826,0.10721518042283178,
